list,alt,alt2
University of Wisconsin-Madison,University of Wisconsin-Madison,University of Wisconsin-Madison
City University of New York system,City University of New York ,CUNY
"Rutgers, the State University of New Jersey system",Rutgers,Rutgers
University of Michigan system,University of Michigan ,University of Michigan 
University of Oregon,University of Oregon,University of Oregon
Florida Agricultural & Mechanical University,Florida Agricultural & Mechanical University,FLORIDA A & M
University of South Florida,University of South Florida,USF
University of Florida,University of Florida,UF
University of Massachusetts Amherst,University of Massachusetts Amherst,UMASS 
University of Massachusetts Lowell,University of Massachusetts Lowell,University of Massachusetts Lowell
State University of New York system,State University of New York ,SUNY
University of Kansas,University of Kansas,University of Kansas
University of Iowa,University of Iowa,University of Iowa
Wayne State University,Wayne State University,WSU
Oregon State University,Oregon State University,Oregon State University
University of California system,University of California ,University of California 
University of Massachusetts Boston,University of Massachusetts Boston,University of Massachusetts Boston
New York University,New York University,NYU
Michigan State University,Michigan State University,MSU
Temple University,Temple University,TEMPLE
University of Massachusetts Amherst,University of Massachusetts Amherst,UMASS 
University of Rhode Island,University of Rhode Island,University of Rhode Island
University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,UIUC
University of Illinois at Chicago,University of Illinois at Chicago,UIC
University of Washington system,University of Washington ,UW
California State University system,California State University ,CSU
University of Illinois Springfield,University of Illinois Springfield,University of Illinois Springfield
Western Michigan University,Western Michigan University,WMU
Southern Illinois University Carbondale,Southern Illinois University Carbondale,SIU
Central Michigan University,Central Michigan University,CMU
Stony Brook Research Foundation,Stony Brook Research Foundation,Stony Brook Research Foundation
Florida State University,Florida State University,FSU
New Jersey Institute of Technology,New Jersey Institute of Technology,NJIT
Montana State University,Montana State University,Montana State University
University of Connecticut,University of Connecticut,UCONN
Grinnell College,Grinnell College,Grinnell College
Portland State University,Portland State University,PSU
Columbia University,Columbia University,COLUMBIA
Loyola University Chicago,Loyola University Chicago,LOYOLA
Brandeis University,Brandeis University,BRANDEIS
University of Chicago,University of Chicago,University of Chicago
Tufts University,Tufts University,TUFTS
Yale University,Yale University,YALE
American University,American University,American University
The New School,The New School,The New School
Boston College,Boston College,Boston College
University of Chicago,University of Chicago,University of Chicago
Southern Illinois University Edwardsville,Southern Illinois University Edwardsville,SUI
Illinois State University,Illinois State University,Illinois State University
Georgetown University,Georgetown University,GEORGETOWN
Brown University,Brown University,BROWN
Harvard University,Harvard University,HAVARD
Oregon Health & Science University,Oregon Health & Science University,OHSU
University of California system,University of California ,University of California 
University of New Mexico,University of New Mexico,UNM
Hamilton College,Hamilton College,HAMILTON
New Mexico State University,New Mexico State University,NMSU
Clark University,Clark University,CLARK
Wesleyan College,Wesleyan College,WESLEYAN
Dartmouth College,Dartmouth College,DARTMOUTH
Massachusetts Institute of Technology,Massachusetts Institute of Technology,MIT
Fordham University,Fordham University,FORDHAM